category,name,description,photo,price
Hair,Duckbill Clip Salon Plastic,Salon-style plastic duckbill sectioning clip,"01080101-DUCKBILL CLIP SALON, PLASTIC.jpg",
Hair,Duckbill Clip Mini Plastic,Mini plastic duckbill clip,"01080102-DUCKBILL CLIP MINI, PLASTIC.jpg",
Hair,Bobby Pin Basic 55MM Metal,Classic 55mm metal bobby pins,"01090101-BOBBY PIN BASIC 55MM, METAL.jpg",
Hair,Tictac Clip Basic Plastic,Basic plastic snap tictac hair clip,"01100103-TICTAC CLIP BASIC, PLASTIC.jpg",
Hair,Side Comb 110MM,110mm side comb for updos and styling,"01110010-SIDE COMB 110MM,.jpg",
Hair,Velcro Hair Pad Basic,Basic velcro hair pad for volume styling,01120101-VELCRO HAIR PAD BASIC.jpg,
Hair,Hair Net Small,Small hair net,HAIR NET SMALL.jpg,
Hair,Hair Net Large,Large hair net,HAR NET LARGE.jpg,
Essentials,Makeup Power Puff 60MM (2 pcs),"60mm powder puff, pack of 2",02010101-MAKEUP POWER PUFF 60MM 2PCS.jpg,
Essentials,Makeup Power Puff Glove 75MM,75mm glove-style powder puff,02010102-MAKEUP POWER PUFF GLOVE 75MM.jpg,
Essentials,Makeup Power Puff Glove 90MM,90mm glove-style powder puff,02010103-MAKEUP POWER PUFF GLOVE 90MM.jpg,
Essentials,Makeup Foundation Sponge,Foundation blending sponge,02020101-MAKEUP FOUNDATION SPONGE.jpg,
Essentials,Makeup Foundation Sponge (variant),Foundation blending sponge variant,02020102-MAKEUP FOUNDATION SPONGE.jpg,
Essentials,Face Wash Cleansing Sponge,Soft cleansing sponge for face washing,02020201-FACE WASH CLEASING SPONGE.jpg,
Hair,Hair Comb 4120 Plastic,Plastic hair comb model 4120,"02040115-HAIR COMB 4120, PLASTIC.jpg",
Hair,Hair Comb 5615 Plastic,Plastic hair comb model 5615,"02040117-HAIR COMB 5615, PLASTIC.jpg",
Hair,Hair Brush Paddle 8586 Plastic,"Paddle brush model 8586, plastic","02050110-HAIR BRUSH PADDDLE 8586, PLASTIC.jpg",
Hair,Hair Brush Paddle 033-6843,Paddle hair brush model 033-6843,02050111-HAIR BRUSH PADDLE 033-6843.jpg,
Hair,Hair Brush Round 033-6811,Round hair brush model 033-6811,02050112-HAIR BRUSH ROUND 033-6811.jpg,
Essentials,Eyebrow Scissor Curved Head,Curved head scissor for eyebrow trimming,"02080101-EYEBROW SCISSOR CURVED HEAD,.jpg",
Essentials,Nail File Stainless Steel,Stainless steel nail file,"02080101-NAIL FILE, STAINLESS STEEL.jpg",
Essentials,Nose Hair Scissor Round Head,Round-tip scissor for safe nose hair trimming,"02080102-NOSE HAIR SCISSOR ROUND HEAD,.jpg",
Essentials,Tweezer Slant Head,Slant-tip tweezer for precise hair removal,"02090102-TWEEZER SLANT HEAD,.jpg",
Essentials,Tweezer Scissor Shape,Scissor-shaped tweezer,02090201-TWEEZER SCISSOR SHAPE.jpg,
Essentials,Nail Clipper N602 60MM Metal,60mm metal nail clipper model N602,"02100101-NAIL CLIPPER N602 60MM, METAL.jpg",
Essentials,Nail Clipper N211 80MM Metal,80mm metal nail clipper model N211,"02100103-NAIL CLIPPER N211 80MM, METAL.jpg",
Essentials,Earwax Removal Stick,Ear cleaning stick for earwax removal,02120101-EARWAX REMOVAL STICK.jpg,
Essentials,Eyebrow Razor,Precision razor for eyebrow shaping,02130101-EYEBROW RAZOR.jpg,
Essentials,Disposable Razor 11 Plus,"Disposable razor, pack of 11",02130201-DISPOSABLE RAZOR 11 PLUS.jpg,
Essentials,Blackhead Removal Tool Metal,Metal blackhead and comedone extractor,"02140101-BLACKHEAD REMOVEL TOOL, METAL.jpg",
Essentials,Blackhead Removal Tool Needle,Needle-tip blackhead extraction tool,"02140102-BLACKHEAD REMOVEL TOOL NEEDLE,.jpg",
Travel,Travel Bottle Pump,Leak-proof travel bottle with pump dispenser,02190101-TRAVEL BOTTLE PUMP.jpg,
Travel,Travel Bottle Spray,Travel-sized spray bottle,02190201-TARVEL BOTTLE SPRAY.jpg,
Travel,Travel Bottle,Standard leak-proof travel bottle,02190301-TRAVEL BOTTLE.jpg,
Travel,Travel Bottle Cream,Travel bottle for creams and lotions,02190401-TRAVEL BOTTLE CREAM.jpg,
Travel,Sleeping Eye Mask,Soft eye mask for sleeping and travel,03010101-SPLEEPING EYE MASK COVER.jpg,
Travel,Inflatable Travel Neck Pillow,Inflatable neck pillow for travel comfort,03020101-INFLATABLE TRAVEL NECK.jpg,
Travel,Breathable Anti-Dust Face Mask,Breathable face mask for dust protection,03030101-BREATHABLE ANTI-DUST FACE MASK.jpg,
Travel,Foot Cover Socks Mid Low Cut,Mid low cut foot cover socks,"03040102-FOOT COVER SOCKS MID LOW CUT,.jpg",
Travel,Ankle Socks Unisex Cotton,Unisex cotton ankle socks,"03040201-ANKLE SOCKS UNISEX, COTTON.jpg",
Travel,FC Stockings Mid Low Cut (2 pairs),"Mid low cut stockings, 2 pairs","03050101-FC STOCKINGS MID LOW CUT 2 PAIRS,.jpg",
Travel,Ankle High Stockings (2 pairs),"Ankle high stockings, 2 pairs","03050201-ANKLE HIGH STOCKINGS 2 PAIRS,.jpg",
